"A 1998","ジャンル","曲 名","演奏者","演奏者2","演奏者3","演奏者4","演奏者5","演奏者6","演奏者7","伴奏","伴奏2","伴奏3","伴奏4","作詞者","補作","作曲者","作曲者2","編曲者","レーベル","レコード番号","シリアル番号","発売","備考","昭和館","場所","箱"
"01","流行歌","神戸ファンタヂー","竹内龍夫",,,,,,,"ウエスターン管弦楽団",,,,"時雨音羽",,"村上 清",,"村上 清","タイヘイ","21064ｰB",,1936,,,,
"01","流行歌","起てよ兵庫","黒田 進",,,,,,,"タイヘイ管弦楽団",,,,"浅田才二",,"宝塚音楽学校",,"服部良一","タイヘイ","3952-A",,1933,"神戸新聞社懸賞当選歌
黒田 進は楠木繁夫の別名",,,
"04","ﾀﾞﾝｽﾐｭｰｼﾞｯｸ
ﾌｫｯｸｽﾄﾛｯﾄ","起てよ兵庫　Tateyo Hyogo","タイヘイダンスオーケストラバンド",,,,,,,"タイヘイダンスオーケストラバンド",,,,,,"記述なし",,"記述なし","タイヘイ","3952-B",,1933,"神戸新聞社懸賞当選歌",,,
"10","市民歌","神戸みなとの祭の歌","三島一声","お鯉","タイヘイコーラス",,,,,"タイヘイオーケストラ",,,,"時雨音羽(選)",,"大村能章",,,"タイヘイ","H10056",,1950,"戦後再発盤
神戸市民祭協会指定歌",,,
"10","市民歌","みなと音頭","幾松","タイヘイコーラス",,,,,,"タイヘイオーケストラ",,,,"岸本梅路
野口雨情(補作)",,"宮本啓一",,,"タイヘイ","H10056",,1950,"戦後再発盤
神戸市民祭協会推薦",,,
"08","流行新小唄","十二勝音頭","新橋喜代丸","女声合唱付",,,,,,"ウエスターン和洋楽団",,,,"山田 正",,"田村しげる",,"山下五郎","タイヘイ","21018ｰB",,1936,"神戸新聞社懸賞募集当選歌
世界最高級ウエスターン吹込",,,
"08","流行新小唄","八景歌謡","橋本一郎","奥田英子",,,,,,"ウエスターン管弦楽団",,,,"井田香月",,"大村能章",,"大村能章","タイヘイ","21018ｰA",,1936,"神戸新聞社懸賞募集当選歌
世界最高級ウエスターン吹込",,,
"10","市民歌","神戸音頭","時雨千枝子(歌)","タイヘイ合唱団",,,,,,"花柳芳次(振付)","タイヘイ和洋楽団",,,"西條八十(選)
高橋重雄",,"宮本啓一",,"宮本啓一","タイヘイ","56380-A",,1935,"「第三回港の祭の歌」神戸市民祭協会指定歌",,,
"01","流行歌","神戸裏山ハイキングの歌","林 伊佐緒","ミス・タイヘイ　",,,,,,"タイヘイ管弦楽団",,,,"平山芦江",,"服部良一",,"服部良一","タイヘイ","56380-B",,1935,"ミス・タイヘイは奥田英子の別名",,,
"08","奉讃民謡","楠公民謡","虎龍","タイヘイ男女合唱団",,,,,,"道添哲夫(振付)","タイヘイ和洋楽団",,,"谷口完治",,"大村能章",,"北木正義","タイヘイ","56225-A",,1935,"湊川神社推薦 徳富蘇峰閣下御閲了
本居長世氏吹込指導立会",,,
"08","奉讃民謡","楠公民謡","秋月光洋","タイヘイ男女合唱団",,,,,,"タイヘイ和洋楽団",,,,"谷口完治",,"大村能章",,"北木正義","タイヘイ","56225-B",,1935,"湊川神社推薦 徳富蘇峰閣下御閲了
本居長世氏吹込指導立会",,,
"08","新小唄","福原小唄(上)","共立検 十七子",,,,,,,"花柳芳次郎(振付)","タイヘイ和洋楽団",,,"平山芦江",,"大村能章",,"大村能章","タイヘイ","56369-A",,1935,"神戸新聞社後援懸賞募集当選歌",,,
"08","新小唄","福原小唄(下)","秋月光洋",,,,,,,"花柳芳次郎(振付)","タイヘイ和洋楽団",,,"平山芦江",,"大村能章",,"大村能章","タイヘイ","56369-B",,1935,"神戸新聞社後援懸賞募集当選歌",,,
"01","流行歌","浜辺の唄","井崎嘉代子",,,,,,,"琴・オーボエ伴奏",,,,"林 古渓",,"成田為三",,"土屋平三郎","タイヘイ","21044-A",,1936,"世界最高級ウエスターン吹込",,,
"01","歌謡曲","神田祭","井崎嘉代子",,,,,,,"タイヘイ管弦楽団",,,,"小林愛雄",,"弘田龍太郎",,"万沢 恒","タイヘイ","21044-B",,1936,"世界最高級ウエスターン吹込",,,
"06","映画主題歌","五月晴一本槍","橋本一郎",,,,,,,"タイヘイ管弦楽団",,,,"佐藤惣之助",,"大村能章",,"大村能章","タイヘイ","21014-A",,1936,"新興キネマ京都撮影所超特作
「五月晴一本槍」主題歌",,,
"06","映画主題歌","娘鹿の子","新橋喜代丸",,,,,,,"タイヘイ管弦楽団",,,,"佐藤惣之助",,"大村能章",,"大村能章","タイヘイ","21014-B",,1936,"新興キネマ京都撮影所超特作
「五月晴一本槍」主題歌",,,
"01","流行歌","佐渡の子守唄","阿部幸次",,,,,,,"タイヘイセレナーダス",,,,"水谷雅夫",,"大村能章",,,"タイヘイ","56210-A",,1935,,,,
"01","流行歌","菅笠しぐれ","東京富丸(唄)","米一菊丸(合唱)",,,,,,"タイヘイセレナーダス",,,,"大塚 徹",,"水原英明",,"大村能章","タイヘイ","56210-B",,1935,,,,
"01","流行歌","桜まつり","三島一声","夢香","ウエスターンコーラス",,,,,"ウエスターン管弦楽団",,,,"鹿山鶯邨",,"大村能章",,"大村能章","タイヘイ","21176-A",,1937,,,,
"01","流行歌","振袖ざくら","シキ皓一","新橋喜代丸","ウエスターンコーラス",,,,,"ウエスターン管弦楽団",,,,"島田磬也",,"宮脇春夫",,"志木田 健","タイヘイ","21176-B",,1937,,,,
